question_number,year,question,option1,option2,option3,option4,correct_option
62,2010,The director’s remark was extremely apposite to the issue being discussed,Appropriate,Inconsequential,Emphatic,Adequate,A
63,2010,Her reputation is without a blemish,Struggle,Problem,Fault,Blessing,C
64,2010,Ugo is eligible for the post of secretary,Nominated,Invited,Qualified,Intelligent,C
65,2010,This is an abridged version of No Longer at Ease,An outdated,An enlarged,An illustrated,"A shortened In each of question 66 to 85, choose the option that best completes the gap(s)",D
66,2010,"Lemoti……… as a painter, but also as a sculptor",is a gifted only not,is only not gifted,is gifted not only,is only gifted,C
67,2010,"He can  recall the important dates in the nation’s history, it is interesting to listen as he rattles ………",off,over,up,out,A
68,2010,The boy told his mother ……..,that was the girl he told her about,that was the girl I told you about her,that was the girl I told her about,that is the girl he told her about,A
69,2010,Last Monday his father asked me ……..,if I had come some days before,if I had come the day before,did you come yesterday,had I come yesterday,B
70,2010,"His wife was badly injured in the fracas, but I think she will pull …….",up,over,through,back,C
71,2010,A wide range of options …….. made available to students in the final year last year,is,were,are,was,D
72,2010,One of the women who …….. in the premises ……. been ordered to quit,sells/have,sell/has,sell/have,sells/has,D
73,2010,The new trade agreement should facilitate………,more economic rapid growth,economic more rapid growth,rapid economic more growth,more rapid economic growth,D
74,2010,The principal said that he was pleased……… my effort.,on,of,with,about,C
75,2010,Paper is made……. Wood pulp,on,of,from,with,C
76,2010,"Long after everyone ........... the hall, obi still sat inside.",left,is leaving,has left,had left,C
77,2010,They are the .......... dresses,babys’,baby,babies,babies’,D
78,2010,The politician was sent……. Exile,onto,into,on,to,C
79,2010,"When we looked up, we…….. the plane some miles away",site,cited,sited,sighted,D
80,2010,Vital….. is still spread ....... word of mouth in most villages in Africa,information/from,information/with,information/by,information/through,C
81,2010,Western education is one of the….. of colonial rule.,legacies,evidence,remnants,inheritance,A
82,2010,The federal government has…… child trafficking,postulated,projected,prescribed,proscribed,D
83,2010,The man was happy that his son confessed his guilt and so the others were……,Implicated,accused,punished,exonerated,D
84,2010,"Based on the facts before me, I have no alternative…… to hold you responsible",only,as,than,but,C
85,2010,Many people would always find reasons to……the law,arrogate,debase,circumvent,"circumspect In each of questions 86 to 88, choose the option that has the same Vowel sound as the one represented by the letters underlined.",C
86,2010,Coup,whup,hoot,couple,scout,B
87,2010,Indict,bright,fish,pick,brick,A
88,2010,Roared,towered,coast,brought,"rod In each of the questions 89 to 91, choose the option that has the same consonant sound as the one represented by letter(s) underlined",A
89,2010,Sheath,bathe,length,months,paths,B
90,2010,High,what,honest,who,vehicle,C
91,2010,Of course,plough,dough,over,"orphan In each of question 92 to 94, choose the option that rhymes with the given word.",C
92,2010,Boys,stays,moist,noise,elbows,C
93,2010,Shine,clean,fine,machine,lain,B
94,2010,Seer,snare,spare,spear,"square In each of question 95 to 97, choose the most appropriate stress pattern from the options. The stressed syllables are written in capital letter(s)",B
95,2010,Political,poliTIcal,PoLItical,POlitical,political,B
96,2010,Satisfactory,saTISfactory,satisFACtory,SATisfactory,satisfactory,B
97,2010,captivity,captiVIty,CAPtivity,capTIvity,"CAPtiviTY In each of question 98 to 100, the word in capital letters has the emphatic. Choose the option to which the given sentence relates",C
98,2010,EMEKA finished his home work yesterday,Was Emeka helped to do his homework?,Did Emeka do his homework?,When did Emeka finish his homework?,Who finished his home work yesterday?,D
99,2010,Taiwo SAILED to London,Did Taiwo fly to London?,Did Taiwo sail to Brazil?,Did Taiwo sail to London?,Where did Taiwo sail to?,A
100,2010,My bag is made of LEATHER,Whose bag is made of leather,Is my bag made of polythene?,Is Abu’s bag made of leather?,Is my bag made of leather? ANSWERS,B
