question_number,year,question,option1,option2,option3,option4,correct_option
17,2011,An example of an endospermous seed is,maize gain,cashew nut,cotton seed,been seed,A
18,2011,I. Parasitism → Sundew. II. Autotrophism →Amoeba. III. Saprophytism → Alga. IV Heterotrophism → Agama. Which of the above modes of nutrition is correctly matched with the organism that exhibits it?,II,III,II,I Use the following information to answer the questions 19 and 20. I. Test tube containing cane sugar and water. II. Test tube containing cane sugar and diluted acid. III. Test tube containing cane sugar and its degrading enzyme.,C
19,2011,In which of the test tubes will glucose be detected after complete hydrolysis?,I and II only,II and III only,I only,"I, II and III",B
20,2011,The enzyme involved in the hydrolysis is,rennin,erepsin,sucrase,maltase,C
21,2011,The part of the mammalian ear responsible for the maintenance of balance is the,cochlea,pinna,perilymph,ossicles,A
22,2011,The path followed by air as it passes through the lungs in mammals is,trachea → bronchi → bronchioles → alveoli,bronchi → trachea → alveoli → bronchioles,trachea → bronchioles →bronchi→ alveoli,bronchioles → alveoli → bronchi →trachea,A
23,2011,The movement response of a cockroach away from a light source can be described as,positive phototaxism,negative phototaxism,negative phototropism,positive phototropism,C
24,2011,The vascular tissues in higher plants are responsible for,the movement of food and water,suction pressure,transpiration pull,the transport of gases and water,A
25,2011,"Which of the following organs regulates the levels of water, salts, hydrogen ions and urea in the mammalian blood?",Liver,Kidney,Bladder,Colon,B
26,2011,The sequence of the one-way gaseous exchange mechanism in a fish is,operculum → gills → mouth,gills → operculum → mouth,mouth → operculum → gills,mouth → gills → operculum,D
27,2011,The type of asexual reproduction that is common to both Paramecium and protists is,budding,sporulation,fragmentation,fission,D
28,2011,"In nature, plants and animals are perpetually engaged in mutualism because",they are rivals,all animals rely on food produced by plants,they utilize respiratory wastes of each other,they are neighbours,B
29,2011,"In an experiment to determine the percentage of humus and water in a soil sample, the following results were obtained: Weight of the evaporating basin alone = 80.5g Weight of basin and soil = 101.5g Weight after drying the soil in the oven = 99.0g Weight of basin and roasted soil = 95.5g The percentage of humus in the soil sample is",16.70%,17.60%,26.70%,16.20%,A
30,2011,An example of a filter -feeding animal is,shark,butterfly,whale,mosquito,C
31,2011,Which of the following is a feature of the population pyramid of a developing country?,long lifespan,low birth rate,low death rate,short lifespan,C
32,2011,The interaction of a community of organisms with its abiotic environment constitutes,niche,a food chain,an ecosystem,a microhabitat,C
33,2011,The vector of the malaria parasite is,female Aedes mosquito,female Anopheles mosquito,male Culex mosquito,female Culex mosquito,B
34,2011,Which of the following instruments is used to measure relative humidity?,Hydrometer,Thermometer,Hygrometer,Anemometer,C
35,2011,Exo-erythrocytic phase of the life cycle of malaria parasite occurs in the,liver of humans,reticuloendothelial cells of humans,Malpighian tubules of mosquito,brain of humans,A
36,2011,Habitats are generally classified into,biotic and abiotic,aquatic and terrestrial,arboreal and marine biomes,microhabitats and macrohabitats,B
37,2011,Dracunculiasis can be contacted through,eating contaminated food,drinking contaminated water,bathing in contaminated water,bites of blackfly,B
38,2011,Which of the following groups of environmental factors are density- dependent?,"Food, salinity, accumulation of metabolites and light","Temperature, salinity predation and disease","Food predation, disease and accumulation of metabolites",Temperature food disease and light,C
39,2011,"Millet, sorghum, maize and onions are common crops growth in Nigeria in the",tropical rainforests,Sudan savanna,montane forests,Sahel savanna,B
40,2011,In which of the following biomes is the south western part of Nigeria located?,Temperate forest,Tropical rainforest,Tropical woodland,Desert,B
41,2011,The inheritable characters that are determined by a gene located on the X- chromosome is,recessive,sex-linked,homozygous,dominant,C
42,2011,Lack of space in a population could lead to an increase in,water scarcity,birth rate,disease rate,drought,B
43,2011,"If the cross of a red-flowered plant with a white-flowered plant produces a pink- flowered plant, it is an example of",codominance,incomplete dominance,mutation,linkage,A
44,2011,Which of the following theories was NOT considered by Darwin in his evolutionary theory?,Variation,Survival of the fittest,Use and disuse,Competition,A
45,2011,The crossing of individuals of the same species with different genetic characters is,cross breeding,polygenic inheritance,non-disjunction,inbreeding,D
46,2011,The number of alleles controlling blood groups in humans,3,4,5,2,A
47,2011,"During blood transfusion, agglutination may occur as a result of the reaction between",contrasting antigens and antibodies,two different antigens,two different antibodies,similar antigens and antibodies,A
48,2011,The fallacy in Lamarck's evolutionary theory was the assumption that,traits are acquired through disuse of body parts,acquired traits are heritable,acquired traits are seldom formed,traits are acquired through the use of body parts,A
49,2011,The bright coloured eye spots on the wings of moth are an example of,warning colouration,disruptive colouration,crypsis,mimicry,D
50,2011,The wings of a bat and those of a bird are examples of,convergent evolution,continuous variation,coevolution,divergent evolution,D
