question_number,year,question,option1,option2,option3,option4,correct_option
29,2014,"From the novel, what was Ada`s punishment for fighting with madam",She copied psalm 119 from start to finish,She fetched water from the stream with a basket,She ate only once a day for one week,she scrubbed the school latrine for one week,D
30,2014,"In the novel, Obu would not touch cocoyam soup because he claimed it",had lost its taste,would get struck in his throat,would make him sick,was not well prepared Question 31 to 35 are based on Jerry Agada`s The Successors,C
31,2014,The entertainment expenses for Okoh Ameh`s traditional marriage rites were paid for by,Okoh amah`s parents,the bide`s parents,Okoh Ameh,Terkura Atsen,A
32,2014,"Mfa`s friend asserted that Bob Marley and other reggae stars were ""good"" because they",smoked Indian hemp,were gainfully employed,listened to their parents,went to schools,A
33,2014,"From the novel, what did Terkura do with the balance of the money chief Ofega paid him?",He married another wife,He brought a beautiful house,He invested it in his business,He bought two cars for his father,C
34,2014,Makurdi became more prominent because of the,Road,Bridge,International hotel,Railway station,D
35,2014,"In the novel, Maria's tolerance of her husband spending half the night on duty at the hotel was considered a",Way of taking great risk,way to remedy all natural problems,necessary price to pay for the success of their marriage,"bad thing that couple should discourage. LEXIS, STRUCTURE AND ORAL FORMS. In each of questions 36 to 45, select the option that best explains the information conveyed in the sentence. Each question carries 2 marks.",C
36,2014,The minister considered the ministry’s budget to a drop in the ocean in view of the number of projects in the pipeline.,The amount available may be inadequate for projected expenditure,The minister maybe dropped for failing to  complete a number of projects.,The money approved cannot compete the pipeline project across the ocean.,The pipeline project across the ocean will be abandoned unless budgetary allocation improves,A
37,2014,The police are looking for the woman who framed her children out to her neighbours.,It would be possible to pass,The police may arrest the woman for allowing her neighbours to take care of her children,He would have to bribe her,She would have to cheat in order to pass,B
39,2014,The president said that he found himself between a rock and a hard place when the press said that he had resigned,He dreamt that he was abandoned,He thought that hard places were unsafe,He had a hard decision to make D Hard places are dangerous for the president,,C
40,2014,Kunana is like a bear with a sore head.,He is a bully,He is grumpy,He is ugly,He is quiet,A
41,2014,Olu gave his brother a bumpy ride,Olu's brother rode on Olu's back to success.,Olu took his brother on a bumpy road,Olu gave his brother a difficult time,Olu gave his brother a ride in his car,C
42,2014,Adeola dosen't have to go the farm today.,Adeola may go to the farm today if he so wishes,Adeola ought not to have gone to the farm today,Adeola must not go to the farm today,Adeola should not go to the farm today,B
43,2014,My boss asked me to take my eyes off the ball.,I should stop paying attention to what is most important,I should be focused when I am about stay off football,I should stay off football after sustaining an injury,I should be focused when playing football.,A
44,2014,The robber was hedged in by the people.,The robber was surrounded by the people,The robber was killed by the people,The robber was exposed by the people,The robber was caught by the people,A
45,2014,Many workers are not happy because they live a hand-to- mouth life.,They work hard with their hands,They are voracious and avaricious,They are barely surviving,"They have rejected the use of spoons. In each of questions 46 to 55, choose the option opposite in meaning to the word or phrase in italics.",C
46,2014,Prolonged strike action debilitated the industry.,a used,an original,a revised,an annotated,A
48,2014,The young girl was taken aback by her father's gift of a car.,shocked,unmoved,surprised,nonplussed,B
49,2014,Musa is a gifted but erratic player,strong,regular,unpredictable,unstable,B
50,2014,The lamp shades were translucent,opaque,interested,luminous,transparent,A
51,2014,My niece has an unquenchable thirst for adventure stories.,a spurious,an illegitimate,a reduced,an inextinguishable,C
52,2014,Some of my neighbours have an antipathy to dogs.,enmity towards,affection for,acronym for,alarm for,B
53,2014,The dressmaker-...- unpicked the seam of the shirt,threaded,sewed up,picked up,tore for,A
54,2014,The testimony of the witness was vague.,disturbing,true,ambiguous,clear,D
55,2014,"As a student, Isa tried communal living for a few years",collective,general,shared,"private. In each of questions 56 to 65, choose the option nearest in meaning to the word or phrase in italics.",D
56,2014,The chairman admires incessant meetings.,unusual,planned,constant,irregular,C
57,2014,Today's weather is favourable for a game of tennis.,impartial,abnormal,encouraging,disapproving,C
58,2014,the candidates looked aghast at the first reading of the questions.,fulfilled,dismayed,satisfied,relaxed,B
59,2014,Joke gave Muhammed a jaunty smile.,a discouraging,an inviting,a frightful,a cheerful.,D
60,2014,The first round of the tournament was a doddle.,easy,balanced,dodgy,exasperating,A
61,2014,The lazy man cast a lustful glance at his neighbour's wife.,hateful,quick,covetous,envious,C
62,2014,They accused him of fomenting political unrest.,inciting,discouraging,preventing,guiding.,A
63,2014,You can learn a great deal just from watching other players.,invent,accumulate,allow,discover.,D
64,2014,All the researchers were asked to garner information on the new viral infection.,breaking,securing,swapping,"strengthening In each of questions 66 to 85, choose the option that best completes the gap",A
66,2014,The House and The Senate will       At noon next Wednesday to hear address by the president,convene,adjourn,rise,collude,A
67,2014,At the --- of the century many ways of doing things were introduced.,turn,event,birth,sight,A
68,2014,"You may have the pencil, but you can't have the ballpoint ...",either,furthermore,also,as well,D
69,2014,The president said that the country was not out of the ...... yet.,forest,fog,water,wood,D
70,2014,He went to the restaurant to enjoy the special.,suite,cuisine,a la carte,chef,B
72,2014,The guard spent all the night pacing---,from and to,fro and to,to and from,to and fro,D
73,2014,The woman refused to testify.... Her husband,in,at,against,from,C
74,2014,Abike must have found the very interesting movies quite....,have been,have being,has been,has being,C
76,2014,Those are very beautiful.,flowers of her,flowers of her's,our flower,flowers ours,D
77,2014,Cooking has never been Jumoke’s---,recital,purview,style,forte,D
78,2014,"When the strike is over, there will probably be an increase in wages and a increase in prices",sporadic,concordant,concurrent,chronic,C
79,2014,My mother was—annoyed with me for coming late.,very,neither,hotly,just,A
80,2014,The chairman is too much--- an idealist for this government,from,about,of,with,C
81,2014,The clock--- 12 O’clock two hours ago.,strikes,strike,struck,striking,C
82,2014,Whats is the jury’s --- the matter,verdict on,verdict from,verdict at,verdict with.,A
83,2014,The unconscious man was---- after receiving first aid.,reawakened,reformed,restored,revived,D
84,2014,The laughter –his face for a moment.,improved,controlled,animated,remade,C
85,2014,She traced her family history- --matrilineal descent.,in,by,with,"at. In each of questions 86 to 88, choose the option that has the same vowel sound as the one represented by the letter(s) underlined.",B
86,2014,cool,full,luke,look,should,A
87,2014,odour,flow,sugar,hold,floor,D
88,2014,palm,ranch,florid,lunch,"plait In each of questions 89 to 91, choose the option that has the same consonant sound as the one represented by the letter(s) underlined.",A
89,2014,vision,instruction,mansion,nation,enclosure.,D
90,2014,gnash,forge,new,king,ring,B
91,2014,epitaph,pseudo,fan,paper,pneumonia. Choose the option that rhymes with the given word.,B
92,2014,ever,favour,fever,never,heavier,C
93,2014,keep,reap,seethe,threat,dead,A
94,2014,tax,box,lacks,back,"ask In each of questions 95 to 97, choose the most appropriate stress pattern from the options. The stressed syllables are written in capital letter.",D
95,2014,valedictory,valeDICtory,valedicTORY,VAledictory,vaLEdictory,A
96,2014,congratulation,congraTUlation,congratuLAtion,CONgratulation,conGRAtulation,C
97,2014,conspiracy,conspiRAcy,conspiraCY,consPIracy,"CONspiracy In each of questions 98 to 100, the world in capital letters has the emphatic stress. Choose the option to which the given sentence relates.",B
98,2014,My mother brought a BICYCLE yesterday.,What did you mother buy yesterday?,Whose mother bought a bicycle yesterday?,Did my mother steal a bicycle yesterday?,When did my mother buy a bicycle?,A
99,2014,AMINA went to Abuja by air.,Is Amina going to Abuja by air?,Who went to Abuja by air?,Did Amina go to Abuja by road?,Did Amina go to Jos by air?,B
100,2014,Musa is STAYING in Enugu.,Is Musa passing through Enugu?,Is Musa staying on the outskirt of Enugu?,Is Audu staying in Enugu?,Was Musa staying in Enugu? ANSWER KEYS:,A
