question_number,year,question,option1,option2,option3,option4,correct_option
35,2015,The process illustrated is,gametogenesis,sexual reproduction in Rhizopus,sexual reproduction in Spirogyra,sporulation,B
36,2015,The structure labelled I is the,zygospore,conidiophore,sporangium,hypha Use the diagram below to answer questions 37 and 38.,A
37,2015,The organelle responsible for sexual reproduction is,IV,I,II,III,D
38,2015,The part labelled IV is responsible for,respiration,ingestion,locomotion,osmoregulation Use the diagram below to answer questions 39 and 40.,D
39,2015,The part labelled I is the,pulmonary artery,bicuspid valve,aorta,vena carva,A
40,2015,Oxygenated blood is pumped to the entire body from the part labelled,IV,I,II,III Use the diagram below to answer questions 41 and 42.,B
41,2015,The experiment demonstrates,hydrotropism,phototropism,thigmotropism,hydrotropism,B
42,2015,The part marked I will contain a high concentration of,ethylene,abscisic acid,auxin,ascorbic acid Use the diagram below to answer questions 43 and 44,C
43,2015,The breeding posture illustrated in the diagram is known as,reproductive swimming,amplexus,mating,courtship,C
44,2015,The diagram shows that the organisms are,viviparous,hermaphrodite,ovoviviparous,oviparous,D
45,2015,Insulin is produced by the endocrine organ labeled,I,IV,III,II,C
46,2015,Which of the following will be true of dog II which lost its tail in an accident if it mates with dog III?,all its offspring will be born without tails,3/4 of its offspring will be born without tails,none of its offspring will be born without a tail,1/4 of its offspring will be born without tails.,C
47,2015,"If the dogs are offspring of a monohybrid cross and the gene G for grey head is dominant over as illele g, the individual whose genotype is likely to be gg is",I,IV,III,II Use the diagram below to answer questions 48 and 49.,C
48,2015,The type of protective adaptation exhibited by the animal is,flash coloration,countershading colouration,warning colouration,disruptive colouration,C
49,2015,The structure labeled I is,tactile,radiosensitive,photosensitive,chemoreceptive,B
