question_number,year,question,option1,option2,option3,option4,correct_option
45,2013,Ramatu ‘expressed her feelings in no uncertain terms.,She expressed it dearly and strongly.,She expressed it secretly and courageously.,She expressed it quietly and cautiously.,"She expressed it feebly and sickly. In each of questions 46 to 55, choose the option opposite in meaning to the word or phrase in italics.",C
46,2013,Chibuzor gave a curt nod and walked away.,gentle.,rude.,polite.,shocking.,A
47,2013,The girl took a cursory glance at the letter and hid it.,sententious.,concise.,brief.,lasting.,D
48,2013,The relationship between the couple has been frosty.,fraudulent.,cordial.,amenable.,frugal.,B
49,2013,The Nobel laureate’s activity in the field of science is heinous.,indelible.,laudable.,deplorable.,forgettable.,B
50,2013,The accused was eventually convicted.,initially.,consequently.,subsequently.,finally.,A
51,2013,The plebs can be found in every society of the world.,masses,middle class,elite,politicians,C
52,2013,Everyone’s condition was appalling.,simple,cloudy,pleasant,complex,C
53,2013,The man’s mordant wit is apparent to the entire village.,Kind,scathing,caustic,withering,D
54,2013,The war against malaria keeps waxing.,happening,decreasing,increasing,wavering,D
55,2013,The soldiers tried in their dogged defence of the city.,indifferent,strong,miserable,"classical In each of questions 56 to 65, choose the option nearest in meaning to the word or phrase in italics.",A
56,2013,Ayodeji is an ardent supporter of education for the girl child.,an optimistic,a cogent,a passionate,an ignorant,C
57,2013,The scholars’ epitaph was demolished.,monument,embodiment,farmland,book,A
58,2013,Mohammed does his work with so much ardour.,enthusiasm,discouragement,knowledge,indifference,A
59,2013,The athlete is proud to be in the vanguard of sports development.,unforgettable position,leading position,destructive position,emerging position,B
60,2013,Nwankwo was on the verge of signing a two -year contract with the club.,shore,brink,summit,height,B
61,2013,I am tired of your eternal argument,fat,quiet,loving,weak,C
63,2013,The actress screamed when she noticed an object behind her,wailed,protested,waded in,stormed out,A
64,2013,The exhibition was an eye opener to all.,dispatch,display,style,examination,B
65,2013,"As a journalist, Bala has always had a nose for stories.",soft comment,cynical statement,an instinct,"a command In each of question 66 to 85, choose the option that best completes the gap(s)",C
66,2013,The girl says she is averse... what others admire.,for,from,to,with,C
67,2013,Our teacher defined... in his introductory,onomatopiea,onomatopoeia,onomatopoeia,onomatopea,C
68,2013,The philanthropist devoted himself... the poor,to helping,in helping,by helping,to be helping,A
69,2013,Tinu likes apples... she does not like oranges.,or,for,so,but,D
70,2013,The students had a ... on Independence Day.,march past,match pass,march pass,match pass,A
71,2013,Do you mind ... another hour or two,to wait,to have waited,wait,waiting,D
72,2013,The continuous rain has really ... the soil.,melted up,mopped up,satiated,saturated,D
73,2013,The police described the boy as being... hand,on by,up to,over at,out of,D
74,2013,It was very easy for the two political parties to form a... government,co-operative,colonial,collusion,coalition,D
75,2013,All farmers were encouraged...  carry  out fumigation on their farms,to,from,in,with,A
76,2013,There are lots of... in the park.,luxury buses moving fast,luxury buses fast moving,moving fast luxury buses,fast-moving luxury buses,D
77,2013,Yours is to command... is to obey,their,theirs,theirs',their's,B
78,2013,Local governments are authorized to pass ---,bye's-law,bye-law,bye-laws,byes'-laws,C
79,2013,Umar: I have never visited the dentist. Aliyu:,neither have l,I also never,neither myself,I myself haven't,A
80,2013,Usman would have won the race....,if he had run faster faster,although he ran faster,only if he could run fast,if he had run faster,D
81,2013,My father told me to take the money from. ... it,ever who offers,whoever offers,whomever offers,whomsoever offer,B
82,2013,Our teacher defined... as the killing of one's mother.,patriach,matricide,matriarch,patricide,B
83,2013,"If you are confused... anything, phone my office.",about,for,of,with,A
84,2013,We have a family mutiny... our hands.,from,of,on,for,C
85,2013,We should try to help...,the less fortunate,this less fortunate,the less fortunate,"less fortunate. In each of question 86 to 88, choose the option that has the same vowel sound as the one ran letter(s) underlined",D
86,2013,glasier,gleam,flat,feign,glass,D
87,2013,laud,lavatory,loud,lathe,core,B
88,2013,coma,colonel,cogent,come,"comma In each of questions 89 to 91, choose the option that has the same consonant sound as the one represented by the letter(s) underlined.",B
89,2013,lose,mouse,nurse,noise,horse,C
90,2013,guitar,jam,strange,judge,rogue,D
91,2013,loose,sell,fuse,close,"rouse In each of question 92 to 94, choose the option that rhymes with the given word.",A
92,2013,rite,list,wit,wright,rim,C
93,2013,Joys,elbow,pots,boys,stays,C
94,2013,Call,wall,quail,dull,"slate In each of questions 95 to 97, choose the most appropriate stress pattern from the options. The stressed syllables are written in capital letters",A
95,2013,dedication,dedicaTION,deDlcation,dedication,Dedication,C
96,2013,international,interNAtional,internaTIONal,International,inTERnational,A
97,2013,information,information,information,information,"Information In each of question 98 to 100, the word in capital letters has the emphatic stress. Choose the option to which the given sentence relates.",A
98,2013,Adamu is leaving a CAR behind.,What is Adamu leaving behind?,Is Adamu driving the car in front?,Who is leaving a car behind?,Where is Adamu leaving a car?,A
99,2013,Lambusa TOOK OFF the wig.,Who took off the wig?,What did Lambusa do?,Did Lambusa take off a wig?,Did Lambusa take off the ring?,B
100,2013,The bed is IN the room,Is the bed in the parlour?,Was the bed in the room?,What is in the room?,Where is the bed? ANSWER KEYS:,D
